novel,year_star,year_end,time,TV,name_music,artist_music,obs
Sétimo Sentido,1982,1982,20h,Globo,EMPTY GARDEN,Elton John,tema de Érika e Rúbens
Sétimo Sentido,1982,1982,20h,Globo,ANYONE OUT THERE,Duran Duran,
Sétimo Sentido,1982,1982,20h,Globo,CASTLES IN THE AIR,Don McLean,tema de Ângela e Tony
Sétimo Sentido,1982,1982,20h,Globo,THE OTHER WOMAN,Ray Parker,
Sétimo Sentido,1982,1982,20h,Globo,WALK AWAY,Udo Jurgens,tema de Luana e Rudi
Sétimo Sentido,1982,1982,20h,Globo,GIGOLO,Mary Wells,
Sétimo Sentido,1982,1982,20h,Globo,SILENZIO,Bianco,tema de Tião Bento
Sétimo Sentido,1982,1982,20h,Globo,CHARIOTS OF FIRE,Spirits,tema das vinhetas de intervalo e tema dos transes de Luana
Sétimo Sentido,1982,1982,20h,Globo,CLASSIC,Adrian Gurvitz,tema de Danilo e Sandra
Sétimo Sentido,1982,1982,20h,Globo,YOU GOT THE POWER,War,
Sétimo Sentido,1982,1982,20h,Globo,HOW LONG,Rod Stewart,
Sétimo Sentido,1982,1982,20h,Globo,MEGATRON MAN,Patrick Cowley,
Sétimo Sentido,1982,1982,20h,Globo,MAKE IT EASY ON YOURSELF,Michael Henderson,
Sétimo Sentido,1982,1982,20h,Globo,TRISTESSE,Danielle,tema de Priscila Capricce
