novel,year_star,year_end,time,TV,name_music,artist_music,obs
Sétimo Sentido,1982,1982,20h,Globo,ESOTÉRICO,Gilberto Gil,
Sétimo Sentido,1982,1982,20h,Globo,JEITO DE AMAR,Ney Matogrosso,tema de Tião Bento
Sétimo Sentido,1982,1982,20h,Globo,A CADA MOMENTO,Maurício Gasperini,tema de Rudi
Sétimo Sentido,1982,1982,20h,Globo,"SER, FAZER, ACONTECER",Luiz Gonzaga Jr.,
Sétimo Sentido,1982,1982,20h,Globo,CHARME DO MUNDO,Marina,tema de Sandra
Sétimo Sentido,1982,1982,20h,Globo,AS VITRINES,Chico Buarque,tema de abertura
Sétimo Sentido,1982,1982,20h,Globo,ATLÂNTIDA,Rita Lee,tema de Henrique e Harold
Sétimo Sentido,1982,1982,20h,Globo,COISA LINDA,Vinícius Cantuária,tema de Luana
Sétimo Sentido,1982,1982,20h,Globo,FALTANDO UM PEDAÇO,Djavan,tema de Luana e Rudi
Sétimo Sentido,1982,1982,20h,Globo,ATIRASTE UMA PEDRA,Maria Bethânia,tema de Gisa
Sétimo Sentido,1982,1982,20h,Globo,DISSE ALGUÉM,"João Gilberto, Caetano Veloso e Gilberto Gil",
Sétimo Sentido,1982,1982,20h,Globo,MAGIA,MPB4,
Sétimo Sentido,1982,1982,20h,Globo,ENTÃO TÁ,Cauby Peixoto,
