novel,year_star,year_end,time,TV,name_music,artist_music,obs
Terra do Sem Fim,1981,1982,18h,Globo,POVO RAÇA BRASIL,Simone,
Terra do Sem Fim,1981,1982,18h,Globo,MOÇA BONITA,Geraldo Azevedo,tema de Margot
Terra do Sem Fim,1981,1982,18h,Globo,BICHO HOMEM,Fafá de Belém,tema do Coronel Horácio
Terra do Sem Fim,1981,1982,18h,Globo,CONTRADANÇA,Ruy Maurity,
Terra do Sem Fim,1981,1982,18h,Globo,ESTRELA DA TERRA,Nana Caymmi e Boca Livre,tema de João Magalhães e Donana
Terra do Sem Fim,1981,1982,18h,Globo,DESAFIO,Dori Caymmi,tema de abertura
Terra do Sem Fim,1981,1982,18h,Globo,RODA BAIANA,Gal Costa,
Terra do Sem Fim,1981,1982,18h,Globo,CANTIGA DE CEGO,Dorival Caymmi,tema geral
Terra do Sem Fim,1981,1982,18h,Globo,VEIO D’AGUA,Elba Ramalho,
Terra do Sem Fim,1981,1982,18h,Globo,OSSAIN (BAMBOXÊ),Antônio Carlos e Jocafi,tema das lavadeiras
Terra do Sem Fim,1981,1982,18h,Globo,RÉQUIEM PARA MATRAGA,Geraldo Vandré,
Terra do Sem Fim,1981,1982,18h,Globo,CABARÉ DE BANDIDO,Dominguinhos,
