novel,year_star,year_end,time,TV,name_music,artist_music,obs
Ti-ti-ti (1985),1985,1986,19h,Globo,TI-TI-TI,Metrô,tema de abertura
Ti-ti-ti (1985),1985,1986,19h,Globo,JÁ FUI,Joe Euthanazia,tema de Bob
Ti-ti-ti (1985),1985,1986,19h,Globo,NÃO DIGA NADA,Prêntice,tema de Gabriela
Ti-ti-ti (1985),1985,1986,19h,Globo,LOBO,Absyntho,tema de Pedro
Ti-ti-ti (1985),1985,1986,19h,Globo,TROCA-TROCA,The Fevers,tema de Valquíria e Luti
Ti-ti-ti (1985),1985,1986,19h,Globo,NADA POR MIM,Marina,tema de Jaqueline
Ti-ti-ti (1985),1985,1986,19h,Globo,DANÇA DAS HORAS,Marcos Sabino,tema de Alex
Ti-ti-ti (1985),1985,1986,19h,Globo,MANEQUIM,Ney Matogrosso,tema de Jacques Leclair
Ti-ti-ti (1985),1985,1986,19h,Globo,A VIDA É DURA,Demônios da Garoa (participação especial de Benito Di Paula),tema de Ari
Ti-ti-ti (1985),1985,1986,19h,Globo,DOCE PRISÃO,Joanna,tema de Suzana
Ti-ti-ti (1985),1985,1986,19h,Globo,SINTONIA,Tunai,tema de Luti
Ti-ti-ti (1985),1985,1986,19h,Globo,DANÇA DO AMOR,Tânia Alves,tema de Clotilde
Ti-ti-ti (1985),1985,1986,19h,Globo,LEMBRANÇAS,Nelson Gonçalves (participação especial de Martinho da Vila),tema de Marta
Ti-ti-ti (1985),1985,1986,19h,Globo,CIDADE ENCANTADA,César Camargo Mariano e Nelson Ayres,tema de Cecília
