novel,year_star,year_end,time,TV,name_music,artist_music,obs
Tieta,1989,1990,20h,Globo,IMACULADA,Elba Ramalho,tema de Imaculada
Tieta,1989,1990,20h,Globo,UMA NOVA MULHER,Simone,tema de Tonha
Tieta,1989,1990,20h,Globo,DANCEI,Martinho da Vila,tema de Modesto Pires
Tieta,1989,1990,20h,Globo,ALGUÉM ME DISSE,Gal Costa,tema de Elisa
Tieta,1989,1990,20h,Globo,A LUA E O MAR,Moraes Moreira e Pepeu Gomes,tema de locação
Tieta,1989,1990,20h,Globo,ÁGUA NA BOCA,3 do Nordeste,tema de Artur da Tapitanga
Tieta,1989,1990,20h,Globo,URBANA,Ary Sperling,tema de Arturzinho
Tieta,1989,1990,20h,Globo,LUAR DO SERTÃO,Roberta Miranda,tema de Laura
Tieta,1989,1990,20h,Globo,INDO E VINDO (ONE FOR THE ROAD),Paulo Ricardo,tema de Rosalvo
Tieta,1989,1990,20h,Globo,VEM MORENA,Nana Caymmi,tema de Carol
Tieta,1989,1990,20h,Globo,DOIDA PRA TE AMAR,Nando Cordel (participação especial de Amelinha),tema de Carmosina
Tieta,1989,1990,20h,Globo,SINCERIDADE (SINCERIDAD),João Bosco,tema de Silvana
Tieta,1989,1990,20h,Globo,TOUCAN’S DANCE,Sérgio Mendes,
Tieta,1989,1990,20h,Globo,O COMANDANTE (STAR SPLANGLED BANNER) / O BÊBADO,Banda de Santana do Agreste,tema de Dário / tema de Bafo-de-Bode
