novel,year_star,year_end,time,TV,name_music,artist_music,obs
Ti-ti-ti (1985),1985,1986,19h,Globo,LOVER WHY,Century,tema de Gabriela e Pedro
Ti-ti-ti (1985),1985,1986,19h,Globo,CLOUDS ACROSS THE MOON,The Rah Band,tema de Clotilde
Ti-ti-ti (1985),1985,1986,19h,Globo,BODY TO BODY,George Valde,tema de Marta
Ti-ti-ti (1985),1985,1986,19h,Globo,HELLO STRANGER,Carrie Lucas,tema de Alex
Ti-ti-ti (1985),1985,1986,19h,Globo,GOOD TIMES,F. R. David,tema de Jaqueline
Ti-ti-ti (1985),1985,1986,19h,Globo,VALENTIM,Tito Velasquez,tema de Victor Valentim
Ti-ti-ti (1985),1985,1986,19h,Globo,RAIN FOREST,Paul Hardcastle,tema de Jaques Leclair
Ti-ti-ti (1985),1985,1986,19h,Globo,NOTHING RHYMED,Gilbert O’Sullivan,tema de Ana Maria
Ti-ti-ti (1985),1985,1986,19h,Globo,HOT SHOT,Jimmy Cliff,tema geral e tema de Bob e Eduarda
Ti-ti-ti (1985),1985,1986,19h,Globo,HANG ON TO YOUR LOVE,Sade,tema do Jacques Leclair
Ti-ti-ti (1985),1985,1986,19h,Globo,THE REASON WHY,Philippe Lawrence,tema de Suzana
Ti-ti-ti (1985),1985,1986,19h,Globo,GIVE A LITTLE LOVE FOR LOVE,The Stylistics,tema de Valquíria e Luti
Ti-ti-ti (1985),1985,1986,19h,Globo,DOES ANYBODY KNOW ME?,Lipps Inc.,tema de Eduarda
Ti-ti-ti (1985),1985,1986,19h,Globo,I’VE BEEN ALONE,David Bryan,tema de Jaqueline
