novel,year_star,year_end,time,TV,name_music,artist_music,obs
Top Model,1989,1990,19h,Globo,RIGHT HERE WAITING,Richard Marx,tema de Duda e Lucas
Top Model,1989,1990,19h,Globo,DON’T LOOK BACK,Fine Young Cannibals,tema de Saldanha
Top Model,1989,1990,19h,Globo,STAIRWAY TO HEAVEN,Led Zeppelin,tema de Gaspar
Top Model,1989,1990,19h,Globo,I DON’T WANNA LOSE YOU,Tina Turner,tema de Artur
Top Model,1989,1990,19h,Globo,STAY,Oingo Boingo,tema dos adolescentes
Top Model,1989,1990,19h,Globo,ONE MORE TIME,Philippe Lawrence,tema de Naná
Top Model,1989,1990,19h,Globo,ALBATROSS,Vikings,tema de Marvin
Top Model,1989,1990,19h,Globo,DON’T WANNA LOSE YOU,Gloria Estephan,tema de Olívia
Top Model,1989,1990,19h,Globo,WISH YOU WERE HERE,Bee Gees,tema de Giulia
Top Model,1989,1990,19h,Globo,NO MORE BOLEROS,Gerard Joling,tema de Alex
Top Model,1989,1990,19h,Globo,I’M GONNA MISS YOU,Milli Vanilli,tema de Marisa
Top Model,1989,1990,19h,Globo,HEAVEN,Warrant,tema de Carla
Top Model,1989,1990,19h,Globo,CALL IT LOVE,Poco,tema de Elvis Presley e Tininha
Top Model,1989,1990,19h,Globo,GIVE ME ACTION,Debbie Day,tema de Cida
