novel,year_star,year_end,time,TV,name_music,artist_music,obs
Um Sonho a Mais,1985,1985,19h,Globo,LOVE IS LOVE,Culture Club,tema de Valéria
Um Sonho a Mais,1985,1985,19h,Globo,TOGETHER IN ELECTRIC DREAMS,Giorgio Moroder and Phillip Oakey,tema de locação
Um Sonho a Mais,1985,1985,19h,Globo,PRIVATE DANCER,Tina Turner,tema de Renata
Um Sonho a Mais,1985,1985,19h,Globo,SMALL TOWN BOY,Bronski Beat,
Um Sonho a Mais,1985,1985,19h,Globo,STEADY,Jules Shear,tema de Mônica e Joaquim
Um Sonho a Mais,1985,1985,19h,Globo,DO YOU WANNA DANCE?,Geraldine,
Um Sonho a Mais,1985,1985,19h,Globo,THEME FROM ‘SUMMER OF 42’ (THE PICASSO SUITE),Michel Legrand,tema de Stella
Um Sonho a Mais,1985,1985,19h,Globo,I WANT TO KNOW WHAT LOVE IS,Foreigner,tema de Volpone e Stella
Um Sonho a Mais,1985,1985,19h,Globo,INVISIBLE,Alison Moyet,tema de Sandra
Um Sonho a Mais,1985,1985,19h,Globo,I CAN WAIT FOREVER,Air Supply,tema de Mônica e Joaquim
Um Sonho a Mais,1985,1985,19h,Globo,BOYS MAKE ME NERVOUS,Heartbreak U.S.A.,
Um Sonho a Mais,1985,1985,19h,Globo,NOBODY LOVES ME LIKE YOU DO,Whitney Houston and Jermaine Jackson,
Um Sonho a Mais,1985,1985,19h,Globo,LOVE HUNGER,Tina Charles,tema de locação
Um Sonho a Mais,1985,1985,19h,Globo,SEX OVER THE PHONE,Village People,
