novel,year_star,year_end,time,TV,name_music,artist_music,obs
Um Sonho a Mais,1985,1985,19h,Globo,CHUVA DE PRATA,Gal Costa (participação Roupa Nova),tema de Valéria
Um Sonho a Mais,1985,1985,19h,Globo,MAIS QUE UM SONHADOR,Degradée,tema de Mônica e Joaquim
Um Sonho a Mais,1985,1985,19h,Globo,INFINITO,Djavan,tema de Renata e Guilherme
Um Sonho a Mais,1985,1985,19h,Globo,ME LIGA,Os Paralamas do Sucesso,
Um Sonho a Mais,1985,1985,19h,Globo,ME LEVA PRA CASA,Joe Euthanazia,tema de Mônica e Joaquim
Um Sonho a Mais,1985,1985,19h,Globo,LEVA,Tim Maia,tema de Stella
Um Sonho a Mais,1985,1985,19h,Globo,WHISKY À GO-GO,Roupa Nova,tema de abertura
Um Sonho a Mais,1985,1985,19h,Globo,EGOTRIP,Blitz,
Um Sonho a Mais,1985,1985,19h,Globo,SHY MOON,Caetano Veloso (participação especial de Ritchie),tema de Volpone
Um Sonho a Mais,1985,1985,19h,Globo,MENINO BONITO,Wanderléa,tema de Emílio
Um Sonho a Mais,1985,1985,19h,Globo,JUNTOS,Ivan Lins (participação especial de George Benson),
Um Sonho a Mais,1985,1985,19h,Globo,CORAÇÕES PSICODÉLICOS,Lobão e os Ronaldos,
Um Sonho a Mais,1985,1985,19h,Globo,VIVENDO ILUSÃO,Rádio Táxi,
Um Sonho a Mais,1985,1985,19h,Globo,GAROTA DO ANO,Arnaldo Brandão (participação especial de Brylho),tema de Mônica
