novel,year_star,year_end,time,TV,name_music,artist_music,obs
Vale Tudo,1988,1989,20h,Globo,BRASIL,Gal Costa,tema de abertura
Vale Tudo,1988,1989,20h,Globo,TÁ COMBINADO,Maria Bethânia,tema de Raquel e Ivan
Vale Tudo,1988,1989,20h,Globo,TERRA DOURADA,João Bosco,tema de locação: Búzios
Vale Tudo,1988,1989,20h,Globo,PENSE E DANCE,Barão Vermelho,tema de Fátima
Vale Tudo,1988,1989,20h,Globo,PONTOS CARDEAIS,Ivan Lins,tema de Leila
Vale Tudo,1988,1989,20h,Globo,A SOMBRA DA PARTIDA,Ritchie,tema de Afonso e Fátima
Vale Tudo,1988,1989,20h,Globo,TODO SENTIMENTO,Verônica Sabino,tema de Heleninha
Vale Tudo,1988,1989,20h,Globo,É,Gonzaguinha,tema de locação: centro do Rio
Vale Tudo,1988,1989,20h,Globo,PENSO NISSO AMANHÃ,Nico Resende,tema de Ivan
Vale Tudo,1988,1989,20h,Globo,ISTO AQUI O QUE É,Caetano Veloso,tema de Raquel
Vale Tudo,1988,1989,20h,Globo,FAZ PARTE DO MEU SHOW,Cazuza,tema de Solange
Vale Tudo,1988,1989,20h,Globo,BESAME,Jane Duboc,tema de César
Vale Tudo,1988,1989,20h,Globo,UM MUNDO SÓ PRA NÓS (EYE IN THE SKY),Gáz,tema de Thiago
Vale Tudo,1988,1989,20h,Globo,SEM DESTINO,Léo Gandelman,tema do núcleo rico
