novel,year_star,year_end,time,TV,name_music,artist_music,obs
Vida Nova,1988,1989,18h,Globo,AMOR É SEMPRE AMOR (AS TIME GOES BY),Patrícia,tema de Bianca
Vida Nova,1988,1989,18h,Globo,SAMBA ITALIANO,Adoniran Barbosa,tema do cortiço
Vida Nova,1988,1989,18h,Globo,EU SONHEI QUE TU ESTAVAS TÃO LINDA,Erasmo Carlos,tema de Toninho e Marialina
Vida Nova,1988,1989,18h,Globo,NÃO TENHO LÁGRIMAS,Paulinho da Viola,tema de Sara e Michel
Vida Nova,1988,1989,18h,Globo,LINDA JUDIA,Ronaldo Barcellos,tema de Ruth
Vida Nova,1988,1989,18h,Globo,FOI DEUS,Francisco José,tema de Manoel Vitor
Vida Nova,1988,1989,18h,Globo,AS MARIPOSAS,Adoniran Barbosa,tema do cortiço
Vida Nova,1988,1989,18h,Globo,VIDA DE BAILARINA,Zizi Possi,tema de Laura
Vida Nova,1988,1989,18h,Globo,SAMBA ERUDITO,Chico Buarque,tema de Antônio Sapateiro
Vida Nova,1988,1989,18h,Globo,SAIA DO CAMINHO,Miucha e Tom Jobim,tema de Gema
Vida Nova,1988,1989,18h,Globo,DEUSA DA MINHA RUA,Sílvio Caldas,tema de Pietro
Vida Nova,1988,1989,18h,Globo,UMA CANÇÃO DE AMOR,Instrumental,tema de Gema e Pietro
Vida Nova,1988,1989,18h,Globo,BOM DIA TRISTEZA,Adoniran Barbosa (participação especial de Roberto Ribeiro),tema de Laura e Antônio Sapateiro
Vida Nova,1988,1989,18h,Globo,NADA ALÉM,Nelson Gonçalves,tema de abertura
