novel,year_star,year_end,time,TV,name_music,artist_music,obs
Vida Nova,1988,1989,18h,Globo,CORE ‘NGRATTO,Tullio Pane,tema de Antônio do Mercado
Vida Nova,1988,1989,18h,Globo,UEI… PAESANO,Niccola Paone,
Vida Nova,1988,1989,18h,Globo,AGAIN,Del Kiggar (Malcolm Forest),tema de Toninho e Marialina
Vida Nova,1988,1989,18h,Globo,TORNA PICCINA,Tito Schipa,
Vida Nova,1988,1989,18h,Globo,LUNA ROSSA,Claudio Villa,
Vida Nova,1988,1989,18h,Globo,MY YIDDISHE MOMME,Debora Sznajder,tema de Sara e Michel
Vida Nova,1988,1989,18h,Globo,TARANTELLA,Gli Amici,tema do cortiço
Vida Nova,1988,1989,18h,Globo,MAMMA,Beniamino Gigli,tema de Antônio Sapateiro
Vida Nova,1988,1989,18h,Globo,O MARENARIELLO,Enrico Muzani,tema de Bruno
Vida Nova,1988,1989,18h,Globo,BELLI FIORI,Bello Mingroni,tema de Maria
Vida Nova,1988,1989,18h,Globo,LA STRADA DEL BOSCO,Gino Bechi,
Vida Nova,1988,1989,18h,Globo,SERENADE,Mandolin Serenaders,tema de Gema e Pietro
Vida Nova,1988,1989,18h,Globo,"OH FACIULLA, ALL´IMBRUNIR (DELL’ALCOVA NEL TEPOR)",Franco Artioli,tema de Bianca e Bruno
Vida Nova,1988,1989,18h,Globo,NOVO FADO DA SEVERA,Carlos Moreira,tema de Manoel Vitor
Vida Nova,1988,1989,18h,Globo,BEGIN THE BEGUINE,Artie Shaw,tema de Laura
Vida Nova,1988,1989,18h,Globo,DICITENCELLO VUIE,Giacomo Rondinella,tema de Alcebíades e Henriqueta
