novel,year_star,year_end,time,TV,name_music,artist_music,obs
Água Viva,1980,1980,20h,Globo,LEAD ME ON,Maxine Nigthingale,tema de Sueli
Água Viva,1980,1980,20h,Globo,LOVE I NEED,Jimmy Cliff,
Água Viva,1980,1980,20h,Globo,DO THAT TO ME ONE MORE TIME,Susan Case & Sound Around,tema de Lourdes
Água Viva,1980,1980,20h,Globo,SHIPS,Barry Manilow,tema de Nelson
Água Viva,1980,1980,20h,Globo,D.I.S.C.O.,Ottowan,
Água Viva,1980,1980,20h,Globo,JUST WHEN I NEEDED YOU MOST,Tony Wilson,tema de Lígia e Nelson
Água Viva,1980,1980,20h,Globo,MEMORIES,Bianchi,tema de Maria Helena
Água Viva,1980,1980,20h,Globo,BABE,Styx,tema de Edir e Márcia
Água Viva,1980,1980,20h,Globo,JUST LIKE YOU DO,Carly Simon,tema de Lígia e Miguel
Água Viva,1980,1980,20h,Globo,I DON’T WANT TO FALL IN LOVE AGAIN,Voyage,
Água Viva,1980,1980,20h,Globo,CRUISIN’,Smokey Robinson,tema de Marcos e Janete
Água Viva,1980,1980,20h,Globo,THE SECOND TIME AROUND,Shalamar,
Água Viva,1980,1980,20h,Globo,NEVER (GONNA LET YOU GO),Charme,tema de Sandra
Água Viva,1980,1980,20h,Globo,MANDOLAY,La Flavour,
