novel,year_star,year_end,time,TV,name_music,artist_music,obs
Água Viva,1980,1980,20h,Globo,GRITO DE ALERTA,Maria Bethânia,tema de Lígia e Nelson
Água Viva,1980,1980,20h,Globo,DESESPERAR JAMAIS,Simone,"tema de Sueli e, depois, tema de Lígia"
Água Viva,1980,1980,20h,Globo,ALTOS E BAIXOS,Elis Regina,tema de Lígia
Água Viva,1980,1980,20h,Globo,VINTE E POUCOS ANOS,Fábio Jr.,tema de Marcos e Janete
Água Viva,1980,1980,20h,Globo,NOITES CARIOCAS,Gal Costa,tema de Stella
Água Viva,1980,1980,20h,Globo,MENINO DO RIO,Baby Consuêlo,tema de abertura
Água Viva,1980,1980,20h,Globo,REALCE,Gilberto Gil,tema de Bruno
Água Viva,1980,1980,20h,Globo,"AMOR, MEU GRANDE AMOR",Ângela Ro Ro,tema de Sandra
Água Viva,1980,1980,20h,Globo,NO TEMPO DOS QUINTAIS,Elizeth Cardoso,
Água Viva,1980,1980,20h,Globo,PEITO VAZIO,Lúcia Araújo,tema de Sueli
Água Viva,1980,1980,20h,Globo,WAVE,João Gilberto,tema de Nelson
Água Viva,1980,1980,20h,Globo,CAIS,Milton Nascimento,tema de Nelson
