novel,year_star,year_end,time,name_music,artist_music,obs
Água Viva,1980,1980,18h,GRITO DE ALERTA,Maria Bethânia,tema de Lígia e Nelson
Água Viva,1980,1980,18h,DESESPERAR JAMAIS,Simone,"tema de Sueli e, depois, tema de Lígia"
Água Viva,1980,1980,18h,ALTOS E BAIXOS,Elis Regina,tema de Lígia
Água Viva,1980,1980,18h,VINTE E POUCOS ANOS,Fábio Jr,tema de Marcos e Janete
Água Viva,1980,1980,18h,NOITES CARIOCAS,Gal Costa,tema de Stella
Água Viva,1980,1980,18h,MENINO DO RIO,Baby Consuêlo,tema de abertura
Água Viva,1980,1980,18h,REALCE,Gilberto Gil,tema de Bruno
Água Viva,1980,1980,18h,"AMOR, MEU GRANDE AMOR",Ângela Ro Ro,tema de Sandra
Água Viva,1980,1980,18h,NO TEMPO DOS QUINTAIS,Elizeth Cardoso,
Água Viva,1980,1980,18h,PEITO VAZIO,Lúcia Araújo,tema de Sueli
Água Viva,1980,1980,18h,WAVE,João Gilberto,tema de Nelson
Água Viva,1980,1980,18h,CAIS,Milton Nascimento,tema de Nelson
